year,month,cost,cost-push,govt,other-effect,purchase,rates,redistribution,savings,social,trade,uncertain
2017,2,0.0833,0.0417,0.0833,0.0,0.0417,0.375,0.0,0.3333,0.0,0.0,0.0417
2017,3,0.1852,0.0,0.0,0.0741,0.0,0.4815,0.0,0.2222,0.0,0.0,0.037
2017,4,0.2222,0.0,0.0,0.0,0.0,0.3333,0.0,0.1111,0.0,0.1111,0.2222
2017,5,0.1429,0.0952,0.0,0.0952,0.0952,0.2857,0.0,0.1905,0.0476,0.0,0.0476
2017,6,0.1053,0.0263,0.0263,0.1053,0.0263,0.5,0.0,0.1053,0.0,0.0789,0.0263
2017,7,0.093,0.0,0.0,0.0233,0.0465,0.5581,0.0233,0.1628,0.093,0.0,0.0
2017,8,0.093,0.0233,0.0,0.0698,0.0,0.5349,0.0,0.1628,0.0465,0.0233,0.0465
2017,9,0.1905,0.0,0.0,0.0,0.0476,0.6667,0.0,0.0476,0.0,0.0,0.0476
2017,10,0.0,0.0526,0.0,0.0526,0.1053,0.5263,0.0,0.2632,0.0,0.0,0.0
2017,11,0.1429,0.0,0.0,0.0714,0.0,0.5714,0.0,0.0714,0.0,0.1429,0.0
2017,12,0.1,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.2,0.0,0.0
2018,1,0.2,0.0,0.0,0.0667,0.0,0.3333,0.0,0.0,0.1333,0.0,0.2667
2018,2,0.0256,0.0128,0.0,0.0,0.0,0.4231,0.0,0.3462,0.0,0.0,0.1923
2018,3,0.0667,0.0333,0.0,0.0333,0.0,0.5667,0.0,0.1333,0.0,0.0,0.1667
2018,4,0.0263,0.0,0.0,0.0,0.0,0.5,0.0,0.3684,0.0263,0.0,0.0789
2018,5,0.0588,0.0,0.0,0.0,0.0,0.6765,0.0294,0.1765,0.0294,0.0,0.0294
2018,6,0.0526,0.1053,0.0,0.0,0.0,0.6316,0.0,0.1579,0.0,0.0526,0.0
2018,7,0.0667,0.0,0.0,0.0,0.0,0.6,0.0,0.2667,0.0,0.0667,0.0
2018,8,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.1429
2018,9,0.069,0.0,0.0,0.069,0.0,0.5172,0.0,0.2759,0.0,0.0345,0.0345
2018,10,0.1667,0.0833,0.0,0.0,0.0833,0.4167,0.0,0.1667,0.0,0.0,0.0833
2018,11,0.0,0.0,0.0,0.0,0.2,0.7333,0.0,0.0667,0.0,0.0,0.0
