count,source,city,state,zip code,latitude,longitude,circulation,scope
1,WSB Radi,Alamosa,Colorado,81101,37.4763035,-105.8994254,no data,no data
1,WSB-TV on MSN.com,Atlanta,Georgia,30307,33.764379,-84.361582,no data,no data
1,WSGW,Blumfield Township,Michigan,no data,43.461135,-83.8133025,no data,no data
1,WSJM,Saint Joseph,Michigan,49085,42.1047623,-86.4725226,no data,no data
1,WSPA.com,Renton,Washington,98057,47.47770725,-122.2069731,no data,no data
1,WSYR,Town of De Witt,New York,13057,43.056091,-76.06445475,no data,no data
1,WTAJ - www.wearecentralpa.com,Logan Township,Pennsylvania,no data,40.5668536,-78.4406551,no data,no data
1,WTHI-TV,Terre Haute,Indiana,no data,39.4667025,-87.4139119,no data,no data
1,WTHITV.com,Newark,New Jersey,7175,40.7357,-74.1724,no data,no data
1,WTMJ-TV,Milwaukee,Wisconsin,no data,43.0349931,-87.922497,no data,no data
1,WTNH Connecticut New,New Haven,Connecticut,6510,41.3068625,-72.92180252,no data,no data
1,WTOP News,Montgomery County,20902,United States,39.04206445,-77.0459393,no data,no data
1,WTOV Steubenville,Mingo Junction,Ohio,43938,40.3422911,-80.6203522,no data,no data
1,WTRF,San Francisco,California,94107,37.721,-122.391,no data,no data
1,WTTW News,Jefferson Township,Illinois,60625,41.97976905,-87.71769901,no data,no data
1,"WTVY, Dothan",Webb,Alabama,36376,31.2546064,-85.2608522,no data,no data
1,WUWM,Ashburn,Virginia,20149,39.0438,-77.4874,no data,no data
1,WVNS-TV,Lewisburg,West Virginia,24901,37.8017879,-80.4456303,no data,no data
1,WVTM 13 Birmingham on MSN.com,Birmingham,Alabama,35209,33.4905428,-86.796618,no data,no data
1,WVVA,Bluefield,West Virginia,24701,37.2698395,-81.2223195,no data,no data
1,WVVA T,Bluefield,Virginia,24366,37.2557802,-81.1817856,no data,no data
1,WWAY NewsChannel 3,Brentwood,California,94513,37.9452594,-121.7009932,no data,no data
1,WWL-TV New Orleans on MSN.com,Terrytown,Louisiana,70056,29.906594,-90.0397933,no data,no data
1,WWSB ABC 7,Manhattan,Florida,34219,27.5578148,-82.3662041,no data,no data
1,WXXI,City of Rochester,New York,14614,43.1602736,-77.61733213,no data,no data
1,WXXI News,City of Rochester,New York,14614,43.1602736,-77.61733213,no data,no data
1,WYPR,Old Goucher,Maryland,21218,39.3148101,-76.61712484,no data,no data
1,Walla Walla Union-Bulletin,no data,Oklahoma,United States,34.70674955,-98.3972613,no data,no data
1,Wane,Town of Vernon,New York,no data,43.079672,-75.539589,no data,no data
1,Warren Tribune Chronicle,no data,Pennsylvania,no data,41.8119602,-79.2654452,no data,no data
1,Washington City Paper,Barre City,Vermont,5641,44.20051035,-72.50499292,no data,no data
1,Washington Examine,no data,Washington,District of Columbia,38.8950368,-77.0365427,no data,no data
1,Washington Free Beacon,no data,Washington,District of Columbia,38.8950368,-77.0365427,no data,no data
1,Washington Monthly,no data,Washington,District of Columbia,38.8950368,-77.0365427,no data,no data
1,Watauga Democrat,no data,North Carolina,no data,36.2228105,-81.6863808,no data,no data
1,Wausau Daily Herald,Wausau,Wisconsin,54403,44.9610248,-89.6188849,2841,no data
1,We Got This Covered,no data,no data,no data,,,no data,no data
1,WeAreGreenBay.com,San Francisco,California,94107,37.721,-122.391,no data,no data
1,Weatherford Democrat,Weatherford,Texas,76086,32.7589648,-97.7970748,no data,no data
1,West Fargo Pioneer,West Fargo,North Dakota,58078,46.85067735,-96.88417855,no data,no data
1,Western Journalism,Walnut,California,91789,34.0476342,-117.8436169,no data,no data
1,Westfield Republican,Westfield,Massachusetts,no data,42.1205411,-72.7489158,no data,no data
1,Westport News,Kiln Creek,Virginia,23602,37.123779,-76.485582,no data,no data
1,Wheeling Intelligencer,Wheeling Township,Illinois,60090,42.138889,-87.9310944,no data,no data
1,WholeHogSports,no data,no data,no data,,,no data,no data
1,Wichita Eagl,Wichita,Kansas,no data,37.6922361,-97.3375448,no data,no data
1,Wicked Local,Concord,Massachusetts,1742,42.4627423,-71.3872728,no data,no data
1,Wired,Hamilton County,Tennessee,37363,35.0752578,-85.0618098,511380,no data
1,Wisconsin Public Radio News,no data,no data,Wisconsin,44.4308975,-89.6884637,no data,no data
1,Wisconsin State Farmer,no data,no data,Wisconsin,44.4308975,-89.6884637,no data,no data
1,Worcester Telegram,Worcester,Massachusetts,1608,42.26171075,-71.80223752,no data,no data
1,Wyoming News,Gillette,Wyoming,82716,44.2925167,-105.5201807,no data,no data
1,Yahoo Entertainment US on MSN.com,Sunnyvale,California,no data,37.4181243,-122.0253802,no data,no data
1,Yahoo Parenting,Sunnyvale,California,no data,37.4181243,-122.0253802,no data,no data
1,Yahoo! Sports on MSN.com,Sunnyvale,California,no data,37.4181243,-122.0253802,no data,no data
1,Yale News,Yale,Iowa,no data,41.7750621,-94.3550094,no data,no data
1,Yankton Daily Press,no data,South Dakota,no data,43.0115255,-97.3967561,no data,no data
1,Yellowhammer News,Tapoco,North Carolina,United States,35.4440366,-83.9382017,no data,no data
1,York Dispatch,York,Pennsylvania,17404,39.9642658,-76.72797774,4997,no data
1,Your Houston News,Cincinnati,Ohio,45202,39.11362255,-84.4991704,no data,no data
1,YourBasin,San Francisco,California,94107,37.721,-122.391,no data,no data
1,ZDNet,Kansas City,Missouri,,39.0997,-94.5785,no data,no data
1,abc13.com on MSN.com,Madison,Wisconsin,53704,43.1420815,-89.33774534,no data,no data
1,abc4.com,San Francisco,California,94107,37.721,-122.391,no data,no data
1,abc7NY on MSN.com,Madison,Wisconsin,53704,43.1420815,-89.33774534,no data,no data
1,arstechnica.com,Dublin,Ohio,43017,40.0992,-83.1141,no data,no data
1,cleveland.co,no data,North Carolina,no data,35.330702,-81.5507523,no data,no data
1,cointelegraph.com,San Francisco,California,94107,37.7803,-122.39,no data,no data
1,consequenceofsound.net,no data,no data,no data,,,no data,no data
1,desmoinesregister.com,Reston,Virginia,20190,38.9609,-77.3429,no data,no data
1,easternnewmexiconews.com,San Francisco,California,94107,37.7803,-122.39,no data,no data
1,eonline.com,Ashburn,Virginia,20149,39.0469,-77.4903,no data,no data
1,fairfieldcurrent.com,no data,no data,no data,,,no data,no data
1,federalnewsnetwork.com,San Francisco,California,94107,37.721,-122.391,no data,no data
1,flickeringmyth.com,Manassas,Virginia,20109,38.7514,-77.5251,no data,no data
1,fool.com,no data,Texas,United States,30.5124122,-98.7275381,no data,no data
1,foxbusiness.com,Mount Prospect,Illinois,60056,42.0648,-87.9356,no data,no data
1,foxsports.com,Chicago,Illinois,60602,41.8874,-87.6318,no data,no data
1,graphicpolicy.com,San Francisco,California,94110,37.7506,-122.4121,no data,no data
1,ideastream,Dublin,Ohio,43017,40.0992,-83.1141,no data,no data
1,irishtimes.com,no data,no data,no data,,,no data,no data
1,kcentv.com,Portland,Oregon,97207,45.5235,-122.676,no data,no data
1,kiiitv.com,Portland,Oregon,97207,45.5235,-122.676,no data,no data
