year_month,unique_articles
1951-12-01,1067
1952-01-01,1143
1952-02-01,890
1952-03-01,1052
1952-04-01,804
1952-05-01,838
1952-06-01,768
1952-07-01,681
1952-08-01,805
1952-09-01,1007
1952-10-01,1250
1952-11-01,629
1952-12-01,617
1953-01-01,529
1953-02-01,470
1953-03-01,410
1953-04-01,417
1953-05-01,435
1953-06-01,415
1953-07-01,236
1953-08-01,297
1953-09-01,305
1953-10-01,356
1953-11-01,252
1953-12-01,269
1954-01-01,386
1954-02-01,225
1954-03-01,275
1954-04-01,196
1954-05-01,200
1954-06-01,216
1954-07-01,188
1954-08-01,198
1954-09-01,189
1954-10-01,401
1954-11-01,216
1954-12-01,260
1955-01-01,298
1955-02-01,272
1955-03-01,294
1955-04-01,195
1955-05-01,192
1955-06-01,259
1955-07-01,278
1955-08-01,368
1955-09-01,376
1955-10-01,371
1955-11-01,301
1955-12-01,297
1956-01-01,497
1956-02-01,356
1956-03-01,261
1956-04-01,363
1956-05-01,421
1956-06-01,333
1956-07-01,369
1956-08-01,537
1956-09-01,521
1956-10-01,615
1956-11-01,397
1956-12-01,431
1957-01-01,841
1957-02-01,708
1957-03-01,620
1957-04-01,523
1957-05-01,507
1957-06-01,785
1957-07-01,854
1957-08-01,951
1957-09-01,1102
1957-10-01,808
1957-11-01,664
1957-12-01,620
1958-01-01,790
1958-02-01,451
1958-03-01,586
1958-04-01,737
1958-05-01,563
1958-06-01,542
1958-07-01,368
1958-08-01,804
1958-09-01,651
1958-10-01,868
1958-11-01,741
1958-12-01,722
1959-01-01,1037
1959-02-01,773
1959-03-01,913
1959-04-01,975
1959-05-01,1097
1959-06-01,947
1959-07-01,1079
1959-08-01,797
1959-09-01,752
1959-10-01,751
1959-11-01,594
1959-12-01,614
1960-01-01,1054
1960-02-01,556
1960-03-01,430
1960-04-01,475
1960-05-01,402
1960-06-01,430
1960-07-01,496
1960-08-01,359
1960-09-01,352
1960-10-01,629
1960-11-01,510
1960-12-01,265
1961-01-01,399
1961-02-01,355
1961-03-01,314
1961-04-01,298
1961-05-01,303
1961-06-01,407
1961-07-01,387
1961-08-01,349
1961-09-01,395
1961-10-01,335
1961-11-01,271
1961-12-01,283
1962-01-01,483
1962-02-01,237
1962-03-01,258
1962-04-01,446
1962-05-01,480
1962-06-01,490
1962-07-01,316
1962-08-01,304
1962-09-01,254
1962-10-01,211
1962-11-01,228
1962-12-01,263
1963-01-01,386
1963-02-01,219
1963-03-01,300
1963-04-01,353
1963-05-01,236
1963-06-01,171
1963-07-01,159
1963-08-01,163
1963-09-01,327
1963-10-01,325
1963-11-01,262
1963-12-01,240
1964-01-01,435
1964-02-01,277
1964-03-01,397
1964-04-01,459
1964-05-01,372
1964-06-01,318
1964-07-01,322
1964-08-01,241
1964-09-01,316
1964-10-01,410
1964-11-01,352
1964-12-01,364
1965-01-01,367
1965-02-01,229
1965-03-01,237
1965-04-01,258
1965-05-01,213
1965-06-01,314
1965-07-01,239
1965-08-01,358
1965-09-01,418
1965-10-01,320
1965-11-01,443
1965-12-01,730
1966-01-01,1104
1966-02-01,863
1966-03-01,1089
1966-04-01,1063
1966-05-01,1120
1966-06-01,748
1966-07-01,832
1966-08-01,1280
1966-09-01,1655
1966-10-01,1689
1966-11-01,1095
1966-12-01,720
1967-01-01,803
1967-02-01,421
1967-03-01,454
1967-04-01,438
1967-05-01,393
1967-06-01,402
1967-07-01,489
1967-08-01,546
1967-09-01,659
1967-10-01,917
1967-11-01,877
1967-12-01,818
1968-01-01,948
1968-02-01,663
1968-03-01,667
1968-04-01,637
1968-05-01,797
1968-06-01,667
1968-07-01,601
1968-08-01,629
1968-09-01,726
1968-10-01,880
1968-11-01,826
1968-12-01,926
1969-01-01,1266
1969-02-01,872
1969-03-01,1079
1969-04-01,1302
1969-05-01,1064
1969-06-01,1407
1969-07-01,1474
1969-08-01,1392
1969-09-01,1493
1969-10-01,1829
1969-11-01,1433
1969-12-01,1744
1970-01-01,2205
1970-02-01,1694
1970-03-01,1577
1970-04-01,1469
1970-05-01,1762
1970-06-01,1808
1970-07-01,1504
1970-08-01,1496
1970-09-01,1438
1970-10-01,1681
1970-11-01,1734
1970-12-01,1602
1971-01-01,1710
1971-02-01,1302
1971-03-01,1091
1971-04-01,1159
1971-05-01,1250
1971-06-01,1044
1971-07-01,1312
1971-08-01,1921
1971-09-01,1494
1971-10-01,1673
1971-11-01,1564
1971-12-01,1173
1972-01-01,1396
1972-02-01,1048
1972-03-01,1050
1972-04-01,1259
1972-05-01,945
1972-06-01,983
1972-07-01,1178
1972-08-01,1214
1972-09-01,1145
1972-10-01,1514
1972-11-01,1276
1972-12-01,1072
1973-01-01,1547
1973-02-01,1388
1973-03-01,1635
1973-04-01,1857
1973-05-01,1655
1973-06-01,1985
1973-07-01,2041
1973-08-01,1926
1973-09-01,2226
1973-10-01,1572
1973-11-01,1386
1973-12-01,1453
1974-01-01,2290
1974-02-01,2216
1974-03-01,2397
1974-04-01,2439
1974-05-01,2907
1974-06-01,2968
1974-07-01,3275
1974-08-01,4329
1974-09-01,5419
1974-10-01,6122
1974-11-01,5449
1974-12-01,4897
1975-01-01,4441
1975-02-01,3569
1975-03-01,3281
1975-04-01,2556
1975-05-01,2535
1975-06-01,2316
1975-07-01,2566
1975-08-01,2599
1975-09-01,2662
1975-10-01,2141
1975-11-01,2035
1975-12-01,1924
1976-01-01,2234
1976-02-01,1820
1976-03-01,2081
1976-04-01,1841
1976-05-01,1829
1976-06-01,1738
1976-07-01,1717
1976-08-01,1824
1976-09-01,1959
1976-10-01,2425
1976-11-01,2133
1976-12-01,1971
1977-01-01,1852
1977-02-01,1618
1977-03-01,1899
1977-04-01,2158
1977-05-01,2182
1977-06-01,1674
1977-07-01,1646
1977-08-01,1353
1977-09-01,1624
1977-10-01,1610
1977-11-01,1752
1977-12-01,1813
1978-01-01,2111
1978-02-01,1463
1978-03-01,2151
1978-04-01,2865
1978-05-01,2897
1978-06-01,3008
1978-07-01,3003
1978-08-01,2773
1978-09-01,2694
1978-10-01,3573
1978-11-01,4237
1978-12-01,3757
1979-01-01,3844
1979-02-01,3349
1979-03-01,3670
1979-04-01,3585
1979-05-01,3590
1979-06-01,3358
1979-07-01,3950
1979-08-01,3543
1979-09-01,3997
1979-10-01,4390
1979-11-01,3914
1979-12-01,3759
1980-01-01,4149
1980-02-01,4215
1980-03-01,6661
1980-04-01,5461
1980-05-01,4810
1980-06-01,4634
1980-07-01,3859
1980-08-01,4161
1980-09-01,3841
1980-10-01,4465
1980-11-01,4358
1980-12-01,3976
1981-01-01,4445
1981-02-01,4198
1981-03-01,4253
1981-04-01,3572
1981-05-01,3720
1981-06-01,3420
1981-07-01,3663
1981-08-01,3193
1981-09-01,3281
1981-10-01,2973
1981-11-01,3088
1981-12-01,2768
1982-01-01,3141
1982-02-01,2896
1982-03-01,2684
1982-04-01,2500
1982-05-01,2441
1982-06-01,2194
1982-07-01,2242
1982-08-01,2142
1982-09-01,2167
1982-10-01,2905
1982-11-01,2347
1982-12-01,2330
1983-01-01,2807
1983-02-01,2300
1983-03-01,2456
1983-04-01,1925
1983-05-01,2325
1983-06-01,2177
1983-07-01,1888
1983-08-01,1875
1983-09-01,1759
1983-10-01,1930
1983-11-01,1678
1983-12-01,1840
1984-01-01,2502
1984-02-01,2315
1984-03-01,2193
1984-04-01,2036
1984-05-01,2106
1984-06-01,2180
1984-07-01,2450
1984-08-01,2461
1984-09-01,2251
1984-10-01,2551
1984-11-01,2228
1984-12-01,2058
1985-01-01,2888
1985-02-01,2549
1985-03-01,2671
1985-04-01,2569
1985-05-01,3128
1985-06-01,2508
1985-07-01,2665
1985-08-01,2258
1985-09-01,2292
1985-10-01,2227
1985-11-01,2155
1985-12-01,2643
1986-01-01,2761
1986-02-01,2781
1986-03-01,2886
1986-04-01,2411
1986-05-01,2357
1986-06-01,2214
1986-07-01,2233
1986-08-01,2350
1986-09-01,2353
1986-10-01,2141
1986-11-01,1762
1986-12-01,2029
1987-01-01,2887
1987-02-01,2248
1987-03-01,2278
1987-04-01,3022
1987-05-01,2970
1987-06-01,3175
1987-07-01,2283
1987-08-01,2480
1987-09-01,2816
1987-10-01,3245
1987-11-01,2802
1987-12-01,2733
1988-01-01,2821
1988-02-01,2564
1988-03-01,2704
1988-04-01,2736
1988-05-01,3779
1988-06-01,3744
1988-07-01,3474
1988-08-01,4043
1988-09-01,3460
1988-10-01,3645
